HH_ID,FOOD_PRE,FOOD_VFM,FOOD_ECO,CLEANO_PRE,CLEANO_VFM,CLEANO_ECO,PC_PRE,PC_VFM,PC_ECO,FOOD_TOT,CLEANO_TOT,PC_TOT,TOTAL
107,8412946.157,13215235.01,2594568.711,87544.3,298632.3,156828.97,64590.82,688976.71,337483.63,24222749.88,543005.57,1091051.16,25856806.61
108,2400963.301,4247175.447,1424738.724,293712.1,406534.695,79471.73,151995.94,349541.22,255620.55,8072877.473,779718.525,757157.71,9609753.708
109,1206515.766,1315375.891,242005.1425,79419.44,281988.8,48689.67,261497.41,271637.76,45413.55,2763896.799,410097.91,578548.72,3752543.429
110,1504643.98,2847267.193,900433.5317,43535,203908,33483.6,149663.65,258620.505,95017.1,5252344.705,280926.6,503301.255,6036572.56
111,1017064.443,2056767.217,632486.3,93564.13,207393.6,126330.54,150525.54,363268.81,152724.49,3706317.96,427288.27,666518.84,4800125.07
112,1122215.641,905612.2834,132353.2519,165807.19,222048.63,31318.55,223256.93,196483.6,22110.94,2160181.176,419174.37,441851.47,3021207.016
113,1737018.899,2077220.416,631005.6063,10621.5,101898.55,20009.15,68640.33,284612.39,68033.655,4445244.92,132529.2,421286.375,4999060.495
114,3836352.137,11440848.8,2464074.597,466199.3,871503.09,18284.1,454085.55,420179.25,716191.9,17741275.53,1355986.49,1590456.7,20687718.72
115,1271195.507,3198023.659,1772001.677,38024.7,66740.3,34248.57,78872.93,226160.48,172293.03,6241220.844,139013.57,477326.44,6857560.854
116,1910967.046,2078992.08,422315.241,98666.35,227528.15,40636.4,447564.59,346217.32,169734.59,4412274.366,366830.9,963516.5,5742621.766
117,969133.8509,1971132.602,1085389.317,0,234997.09,9620,85047.5,156312.115,63474.25,4025655.77,244617.09,304833.865,4575106.725
118,6284927.56,6047433.475,1441704.253,76758.3,443347.98,151795.96,160636.41,795692.36,137964.38,13774065.29,671902.24,1094293.15,15540260.68
119,2483230.545,4218617.054,1229934.233,2857.25,103973.4,90042.89,227838.46,349512.92,63758.67,7931781.833,196873.54,641110.05,8769765.423
120,535735.2503,4036781.122,1404863.08,45568.06,165256.61,73290.34,133142.08,191184.38,240811.95,5977379.452,284115.01,565138.41,6826632.872
121,1956038.16,1685747.72,166556.835,0,207479.2,0,241223.48,53117.2,101438.4,3808342.715,207479.2,395779.08,4411600.995
122,623660.1228,2798080.674,1222123.733,4992.25,107975.34,82240.03,72564.47,230632.38,538770.53,4643864.528,195207.62,841967.38,5681039.528
123,1704167.66,1092402.405,315441.5106,49642.18,226007.72,13830.95,149102.005,235794.655,77378.2825,3112011.575,289480.85,462274.9425,3863767.368
124,2746223.499,5147170.383,1096946.897,232465.92,130322.52,94997.08,92075,467270.24,377056.03,8990340.779,457785.52,936401.27,10384527.57
125,607831.6654,1364934.347,338948.9203,98973.49,90995.496,30558.13,127719.92,249158.52,71454.605,2311714.932,220527.116,448333.045,2980575.093
126,955994.2099,1301914.128,513327.1071,5919.6,80766.8,5183.23,27723.68,33957.58,92754.34,2771235.445,91869.63,154435.6,3017540.675
127,654651.5229,867780.4695,336651.384,20988.3,42618.4,23219,0,36632.06,120613.5,1859083.376,86825.7,157245.56,2103154.636
128,2636521.462,5767027.534,944943.1549,15384.08,104090.1,55974.45,424764.58,252517.885,173681.88,9348492.15,175448.63,850964.345,10374905.13
129,6011414.59,8327695.317,2298660.425,652121.02,1759282.58,599220.18,1760892.78,1317367.96,292505.43,16637770.33,3010623.78,3370766.17,23019160.28
130,952118.42,1861195.471,310263.1616,93532.85,43170.86,13316.8,72240.8,54307.43,10908.1,3123577.052,150020.51,137456.33,3411053.892
131,2974964.963,5764935.92,1147219.891,51517,36454.59,81960,98281.24,508828.63,45156.04,9887120.773,169931.59,652265.91,10709318.27
132,1477169.624,3495140.863,1774904.453,50899.7,236903.39,71964,18141.5,165254.06,367299.13,6747214.94,359767.09,550694.69,7657676.72
133,1047442.889,3767714.507,1267527.642,120201.95,302307.63,147492.67,113546.84,117907.25,115553.89,6082685.037,570002.25,347007.98,6999695.267
134,984697.7046,4397115.8,1334551.193,59251.95,271307.3,107152.725,19003.01,191299.41,101145.54,6716364.697,437711.975,311447.96,7465524.632
135,1688908.303,2826219.644,1982093.942,126768,184451.14,113616.4,44336.57,142836.05,99983.7,6497221.889,424835.54,287156.32,7209213.749
136,3613200.692,6427186.441,2319115.898,161144.27,319902.66,145702.92,264797.35,83642.55,281072.2,12359503.03,626749.85,629512.1,13615764.98
137,1638937.031,2392933.104,550068.0656,284580.81,540193.76,91635.18,478120.66,812523.09,208354.01,4581938.199,916409.75,1498997.76,6997345.709
138,269845.505,850649.8532,317996.3549,8864.4,87619.91,8248.75,26245.3,174190.16,61738.105,1438491.713,104733.06,262173.565,1805398.338
139,1681163.223,3522389.715,600274.7543,110828.08,83317.8,16600.5,258833.51,206380.85,87465.22,5803827.692,210746.38,552679.58,6567253.652
140,617229.6005,3088684.597,1292684.106,167910.89,387373.23,210188.74,41920.96,217827.72,115671.75,4998598.303,765472.86,375420.43,6139491.593
141,3551980.289,7389948.201,3816961.159,260442.74,761117.365,237382.19,1761640.72,1332841.65,270352.1,14758889.65,1258942.295,3364834.47,19382666.41
142,1678698.135,2111272.364,1081008.456,196847.52,302853.09,64061.14,250738.41,152969.22,55909.67,4870978.954,563761.75,459617.3,5894358.004
143,2403948.08,2097744.195,967479.1314,114239.91,213749.85,31505.75,408757.2,41571.33,30325.67,5469171.407,359495.51,480654.2,6309321.117
144,5816408.937,5432758.321,1095409.227,212644.77,343630.87,83074.75,256077.25,336381.81,81231.3,12344576.49,639350.39,673690.36,13657617.24
145,3847786.342,6330032.887,1756734.183,234812.49,261239.14,100957.6,78197.49,328980.71,165178.94,11934553.41,597009.23,572357.14,13103919.78
146,2754840.142,5276240.93,2432041.542,129725.3,345561.025,123298.75,403938.67,611800.52,221875.775,10463122.61,598585.075,1237614.965,12299322.65
147,2555518,2767386.882,625436.2556,335003.47,361236.75,74347.57,183646.35,366349.5,169231.61,5948341.137,770587.79,719227.46,7438156.387
148,2166051.376,2529574.443,555772.1246,12513.8,105298.68,16579.35,42397.55,147944.94,162195.99,5251397.943,134391.83,352538.48,5738328.253
149,324956.789,1027646.885,326962.9124,16295.5,55087.71,23881.57,29586.75,145502.62,48207.56,1679566.586,95264.78,223296.93,1998128.296
150,1432045.076,2661912.573,1050615.717,109153.2,242766.41,128771.77,85010.19,249386.72,56976,5144573.366,480691.38,391372.91,6016637.656
151,456036.0188,1441102.357,930551.1582,5909.54,94157.9,63526.7,28693.75,215168.99,145801.98,2827689.533,163594.14,389664.72,3380948.393
152,1911576.864,3741789.382,1006399.321,224767.84,242957.13,65074.22,122250.95,170202.63,148178.16,6659765.567,532799.19,440631.74,7633196.497
153,2263042.969,5390571.394,1824619.708,279496.16,463268.16,180057.6,83067.55,272843.5,293965.75,9478234.07,922821.92,649876.8,11050932.79
154,2556845.13,3396975.599,905610.9548,270635.28,111628.4,84017.08,155870.16,167015.04,92434.9,6859431.683,466280.76,415320.1,7741032.543
155,1147121.425,2021107.912,470757.5271,36616.97,106485.97,29906.8,57861.55,129895.73,76008.9,3638986.864,173009.74,263766.18,4075762.784
156,394132.7511,989492.0155,357880.7962,15786.538,135015.12,12428.03,26076.66,109318.32,90489.8675,1741505.563,163229.688,225884.8475,2130620.098
157,3098372.185,4039858.624,882180.4942,351328.41,336253.21,74986.25,469768.5,1069870.36,134455.68,8020411.303,762567.87,1674094.54,10457073.71
158,2095351.401,3983716.716,1168052.771,141071.79,391022.57,247088.65,73157.31,228880.49,293534.23,7247120.889,779183.01,595572.03,8621875.929
159,2976051.607,3829790.767,1234427.944,126880.79,123911.21,66803.89,205945.5,367648.53,172169.44,8040270.318,317595.89,745763.47,9103629.678
160,8505159.318,25038764.87,12548925.95,1215226.81,2836171.98,645228.18,1143615.1,6375330.04,3894974.54,46092850.14,4696626.97,11413919.68,62203396.79
161,757581.0283,1986948.823,588820.2986,0,102007.86,4503.25,179349.36,122067,88815.15,3333350.149,106511.11,390231.51,3830092.769
162,3300583.015,6763075.337,3199515.325,76814.83,242649.81,55092.63,79543.64,74779.73,104705.425,13263173.68,374557.27,259028.795,13896759.74
163,1418412.937,1149654.922,281216.7792,58844.3,51694.26,9727.9,62561.02,79676.96,46176,2849284.639,120266.46,188413.98,3157965.079
164,1082062.699,1910599.013,642862.9398,27583.99,69664.48,29919.1,51260.73,187436.1953,67069.57,3635524.651,127167.57,305766.4953,4068458.717
165,1602318.753,2561482.538,655662.9745,90130.58,196551.55,46289.37,190401.48,326439.95,202752.94,4819464.266,332971.5,719594.37,5872030.136
166,929243.5182,2882550.402,1606905.803,57522.45,194595.86,72626.08,46533.99,135051.86,131840.85,5418699.723,324744.39,313426.7,6056870.813
167,934619.7341,1713253.021,332846.9944,58773.1,115852.17,20319.45,89652.75,214710.34,61128.075,2980719.749,194944.72,365491.165,3541155.634
168,3109214.977,5360805.683,1618215.265,60125.28,241489.47,217191.6,184991.03,842274.36,590844.85,10088235.92,518806.35,1618110.24,12225152.51
169,473854.0995,1915428.653,1033198.116,21619.95,114647.3,39438.05,46360.6,247990.77,115923.24,3422480.869,175705.3,410274.61,4008460.779
170,4722179.11,11977977.39,3924687.208,609370.16,808015.76,504479.61,583281.92,3190420.18,1235998.88,20624843.7,1921865.53,5009700.98,27556410.21
171,631513.494,3176128.938,1066717.557,170718.66,512959.46,96746.33,180875.35,442030.65,285159.42,4874359.988,780424.45,908065.42,6562849.858
172,1424832.507,2949432.072,1026244.46,84865.31,192003.8,108492.3,122396.05,438747.348,248637.24,5400509.039,385361.41,809780.638,6595651.087
173,1805828.89,2637549.419,1700573.267,40055.9,317207.75,26938.44,120131.65,368986.462,141684.23,6143951.575,384202.09,630802.342,7158956.007
174,3208778.613,7741547.64,2102449.378,277277.6,167196.29,100934.45,267213.5,510694.42,400623.45,13052775.63,545408.34,1178531.37,14776715.34
